# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-p" "-t" "CDS" "-g" "ID" "-a" "results/annotation/E745_Annotation_Final_Polished/E745_Final.gff" "-o" "results/rnaseq/counts/gene_counts.txt" "results/rnaseq/alignment/ERR1797969_Serum.bam" "results/rnaseq/alignment/ERR1797970_Serum.bam" "results/rnaseq/alignment/ERR1797971_Serum.bam" "results/rnaseq/alignment/ERR1797972_BHI.bam" "results/rnaseq/alignment/ERR1797973_BHI.bam" "results/rnaseq/alignment/ERR1797974_BHI.bam" 
Geneid	Chr	Start	End	Strand	Length	results/rnaseq/alignment/ERR1797969_Serum.bam	results/rnaseq/alignment/ERR1797970_Serum.bam	results/rnaseq/alignment/ERR1797971_Serum.bam	results/rnaseq/alignment/ERR1797972_BHI.bam	results/rnaseq/alignment/ERR1797973_BHI.bam	results/rnaseq/alignment/ERR1797974_BHI.bam
MJEHNMBL_00842	E745_Chromosome_SuperHybrid_pilon	842712	843986	+	1275	1260	1320	1552	8	1	2
MJEHNMBL_00843	E745_Chromosome_SuperHybrid_pilon	844108	845022	+	915	1066	1206	1289	36	30	52
MJEHNMBL_00844	E745_Chromosome_SuperHybrid_pilon	845155	846720	-	1566	0	0	0	0	0	2
MJEHNMBL_00845	E745_Chromosome_SuperHybrid_pilon	846713	848164	-	1452	0	2	0	0	1	4
MJEHNMBL_00846	E745_Chromosome_SuperHybrid_pilon	848178	849194	-	1017	2	2	0	0	0	0
MJEHNMBL_00847	E745_Chromosome_SuperHybrid_pilon	849414	850502	+	1089	0	0	0	0	0	0
MJEHNMBL_00848	E745_Chromosome_SuperHybrid_pilon	850556	852082	+	1527	0	0	0	0	0	0
MJEHNMBL_00849	E745_Chromosome_SuperHybrid_pilon	852084	853289	+	1206	0	0	0	0	0	0
MJEHNMBL_00850	E745_Chromosome_SuperHybrid_pilon	853546	854523	+	978	56	69	66	60	30	106
MJEHNMBL_00851	E745_Chromosome_SuperHybrid_pilon	854787	856211	+	1425	4	12	6	8	8	18
MJEHNMBL_00852	E745_Chromosome_SuperHybrid_pilon	856672	857781	+	1110	47	45	58	193	173	260
MJEHNMBL_00853	E745_Chromosome_SuperHybrid_pilon	857784	858761	+	978	27	45	45	132	104	160
MJEHNMBL_00854	E745_Chromosome_SuperHybrid_pilon	858786	860429	+	1644	101	122	91	273	334	461
MJEHNMBL_00855	E745_Chromosome_SuperHybrid_pilon	860437	861843	+	1407	97	117	103	227	275	407
MJEHNMBL_00856	E745_Chromosome_SuperHybrid_pilon	862005	862280	+	276	6	6	4	8	12	25
MJEHNMBL_00857	E745_Chromosome_SuperHybrid_pilon	862295	863053	+	759	9	13	25	38	33	38
MJEHNMBL_00858	E745_Chromosome_SuperHybrid_pilon	863221	865050	+	1830	172	163	144	489	528	829
MJEHNMBL_00859	E745_Chromosome_SuperHybrid_pilon	865311	867083	+	1773	27	27	44	78	79	93
MJEHNMBL_00860	E745_Chromosome_SuperHybrid_pilon	867197	867499	+	303	21	27	25	32	36	60
MJEHNMBL_00861	E745_Chromosome_SuperHybrid_pilon	867502	868665	+	1164	73	113	81	153	144	235
MJEHNMBL_00862	E745_Chromosome_SuperHybrid_pilon	868691	872119	+	3429	324	346	399	481	431	720
MJEHNMBL_00863	E745_Chromosome_SuperHybrid_pilon	872140	873264	+	1125	81	88	112	88	112	117
MJEHNMBL_00864	E745_Chromosome_SuperHybrid_pilon	873245	873691	+	447	37	63	30	51	47	80
MJEHNMBL_00865	E745_Chromosome_SuperHybrid_pilon	873675	874013	+	339	61	82	81	70	72	81
MJEHNMBL_00866	E745_Chromosome_SuperHybrid_pilon	874132	874692	+	561	6	9	12	21	30	42
MJEHNMBL_00867	E745_Chromosome_SuperHybrid_pilon	874689	875180	+	492	19	22	26	16	21	38
MJEHNMBL_00868	E745_Chromosome_SuperHybrid_pilon	875170	876213	+	1044	41	52	52	57	75	122
MJEHNMBL_00869	E745_Chromosome_SuperHybrid_pilon	876483	877100	+	618	6	0	0	0	0	0
MJEHNMBL_00870	E745_Chromosome_SuperHybrid_pilon	877216	877461	+	246	2	4	0	3	5	4
MJEHNMBL_00871	E745_Chromosome_SuperHybrid_pilon	877458	877676	+	219	2	5	2	6	3	15
MJEHNMBL_00872	E745_Chromosome_SuperHybrid_pilon	877812	878351	+	540	4	9	18	15	12	12
MJEHNMBL_00873	E745_Chromosome_SuperHybrid_pilon	878344	880617	+	2274	19	20	23	12	6	20
MJEHNMBL_00874	E745_Chromosome_SuperHybrid_pilon	880655	881701	+	1047	30	30	26	36	20	55
MJEHNMBL_00875	E745_Chromosome_SuperHybrid_pilon	881790	882044	-	255	30	38	32	218	238	302
MJEHNMBL_00876	E745_Chromosome_SuperHybrid_pilon	882444	882713	-	270	11	6	8	26	14	18
MJEHNMBL_00877	E745_Chromosome_SuperHybrid_pilon	883183	883638	-	456	10	2	7	32	12	20
MJEHNMBL_00878	E745_Chromosome_SuperHybrid_pilon	883776	885704	-	1929	24	22	19	104	114	172
MJEHNMBL_00879	E745_Chromosome_SuperHybrid_pilon	885901	886734	-	834	10	18	4	22	32	56
MJEHNMBL_00880	E745_Chromosome_SuperHybrid_pilon	886926	887630	-	705	19	30	25	15	15	38
MJEHNMBL_00881	E745_Chromosome_SuperHybrid_pilon	887653	888279	-	627	25	34	38	25	32	65
MJEHNMBL_00882	E745_Chromosome_SuperHybrid_pilon	888605	890980	+	2376	64	56	46	40	52	70
MJEHNMBL_00883	E745_Chromosome_SuperHybrid_pilon	891004	891495	-	492	14	38	34	22	32	56
MJEHNMBL_00884	E745_Chromosome_SuperHybrid_pilon	891664	892602	+	939	20	16	13	27	23	50
MJEHNMBL_00885	E745_Chromosome_SuperHybrid_pilon	892756	893100	+	345	127	180	163	68	35	105
MJEHNMBL_00886	E745_Chromosome_SuperHybrid_pilon	893290	893790	-	501	4	12	5	4	8	6
MJEHNMBL_00888	E745_Chromosome_SuperHybrid_pilon	894725	895363	-	639	63	124	105	61	44	80
MJEHNMBL_00889	E745_Chromosome_SuperHybrid_pilon	895698	896132	+	435	31	34	34	5	2	12
MJEHNMBL_00890	E745_Chromosome_SuperHybrid_pilon	896155	896475	+	321	16	19	14	1	0	2
MJEHNMBL_00891	E745_Chromosome_SuperHybrid_pilon	896616	896807	+	192	53	28	34	3	6	6
MJEHNMBL_00892	E745_Chromosome_SuperHybrid_pilon	896878	897135	-	258	2	2	2	0	0	6
MJEHNMBL_00893	E745_Chromosome_SuperHybrid_pilon	897293	897556	+	264	45	66	37	35	37	57
MJEHNMBL_00894	E745_Chromosome_SuperHybrid_pilon	897580	897768	+	189	27	24	31	22	5	21
MJEHNMBL_00895	E745_Chromosome_SuperHybrid_pilon	897851	898036	-	186	437	611	500	4	2	10
MJEHNMBL_00896	E745_Chromosome_SuperHybrid_pilon	898251	898622	+	372	14	20	14	16	16	25
MJEHNMBL_00898	E745_Chromosome_SuperHybrid_pilon	898890	899318	-	429	78	94	86	25	19	30
MJEHNMBL_00899	E745_Chromosome_SuperHybrid_pilon	899378	900136	-	759	4	6	2	8	23	12
MJEHNMBL_00900	E745_Chromosome_SuperHybrid_pilon	900431	900628	+	198	18	16	16	11	4	19
MJEHNMBL_00901	E745_Chromosome_SuperHybrid_pilon	900734	901216	+	483	20	32	18	12	14	8
MJEHNMBL_00902	E745_Chromosome_SuperHybrid_pilon	901274	901870	-	597	0	2	2	11	12	18
MJEHNMBL_00903	E745_Chromosome_SuperHybrid_pilon	902257	902895	+	639	51	53	46	91	124	159
MJEHNMBL_00904	E745_Chromosome_SuperHybrid_pilon	902892	903722	+	831	20	24	13	56	40	94
MJEHNMBL_00905	E745_Chromosome_SuperHybrid_pilon	903857	905152	-	1296	0	4	1	4	5	11
MJEHNMBL_00906	E745_Chromosome_SuperHybrid_pilon	905423	908950	+	3528	178	186	236	153	189	260
MJEHNMBL_00907	E745_Chromosome_SuperHybrid_pilon	908947	912669	+	3723	260	242	281	196	174	270
MJEHNMBL_00908	E745_Chromosome_SuperHybrid_pilon	912738	913079	+	342	127	121	74	62	50	118
MJEHNMBL_00909	E745_Chromosome_SuperHybrid_pilon	913388	914431	+	1044	13	20	30	115	144	207
MJEHNMBL_00910	E745_Chromosome_SuperHybrid_pilon	914436	916856	+	2421	76	70	67	347	300	542
MJEHNMBL_00911	E745_Chromosome_SuperHybrid_pilon	917026	918036	-	1011	20	32	24	106	92	176
MJEHNMBL_00912	E745_Chromosome_SuperHybrid_pilon	918290	919027	+	738	52	100	65	79	91	133
MJEHNMBL_00913	E745_Chromosome_SuperHybrid_pilon	919041	919856	+	816	68	110	107	135	127	212
MJEHNMBL_00914	E745_Chromosome_SuperHybrid_pilon	919869	920516	+	648	13	20	13	34	22	36
MJEHNMBL_00915	E745_Chromosome_SuperHybrid_pilon	920532	921188	+	657	11	32	18	30	25	40
MJEHNMBL_00916	E745_Chromosome_SuperHybrid_pilon	921338	922171	+	834	10	6	8	46	24	49
MJEHNMBL_00917	E745_Chromosome_SuperHybrid_pilon	922174	923529	+	1356	41	52	53	77	80	109
MJEHNMBL_00918	E745_Chromosome_SuperHybrid_pilon	923530	924048	+	519	8	13	9	12	2	7
MJEHNMBL_00919	E745_Chromosome_SuperHybrid_pilon	924155	924655	+	501	12	11	17	42	36	51
MJEHNMBL_00920	E745_Chromosome_SuperHybrid_pilon	924935	925855	-	921	6	4	2	30	24	38
MJEHNMBL_00921	E745_Chromosome_SuperHybrid_pilon	926020	927033	+	1014	66	59	78	100	99	199
MJEHNMBL_00922	E745_Chromosome_SuperHybrid_pilon	927143	927898	-	756	20	30	18	274	317	403
MJEHNMBL_00923	E745_Chromosome_SuperHybrid_pilon	928118	928558	+	441	14	20	14	210	172	246
MJEHNMBL_00924	E745_Chromosome_SuperHybrid_pilon	928673	929434	-	762	18	13	20	82	62	120
MJEHNMBL_00925	E745_Chromosome_SuperHybrid_pilon	929623	930717	+	1095	12	12	14	24	26	32
MJEHNMBL_00926	E745_Chromosome_SuperHybrid_pilon	930803	931762	-	960	5	4	6	0	8	6
MJEHNMBL_00927	E745_Chromosome_SuperHybrid_pilon	931948	932883	+	936	8	12	12	82	48	88
MJEHNMBL_00928	E745_Chromosome_SuperHybrid_pilon	932968	933978	-	1011	550	580	500	80	104	144
MJEHNMBL_00929	E745_Chromosome_SuperHybrid_pilon	934266	935579	+	1314	78	128	106	308	273	353
MJEHNMBL_00930	E745_Chromosome_SuperHybrid_pilon	935800	936387	+	588	160	206	188	115	68	141
MJEHNMBL_00931	E745_Chromosome_SuperHybrid_pilon	936564	937505	+	942	16	24	28	67	52	64
MJEHNMBL_00932	E745_Chromosome_SuperHybrid_pilon	937502	938290	+	789	42	40	32	30	26	56
MJEHNMBL_00933	E745_Chromosome_SuperHybrid_pilon	938300	938734	+	435	55	32	40	27	17	38
MJEHNMBL_00934	E745_Chromosome_SuperHybrid_pilon	938876	941173	+	2298	84	68	74	394	361	479
MJEHNMBL_00935	E745_Chromosome_SuperHybrid_pilon	941187	941699	+	513	28	18	21	141	134	269
MJEHNMBL_00936	E745_Chromosome_SuperHybrid_pilon	941988	942206	-	219	57	66	66	0	2	18
MJEHNMBL_00937	E745_Chromosome_SuperHybrid_pilon	942386	943009	-	624	44	50	38	52	48	76
MJEHNMBL_00938	E745_Chromosome_SuperHybrid_pilon	943156	943407	+	252	18	22	20	20	33	107
MJEHNMBL_00939	E745_Chromosome_SuperHybrid_pilon	943509	945506	+	1998	1369	1525	1442	604	615	864
MJEHNMBL_00940	E745_Chromosome_SuperHybrid_pilon	945684	946637	-	954	14	24	22	11	8	16
MJEHNMBL_00941	E745_Chromosome_SuperHybrid_pilon	946819	947706	+	888	8	10	6	26	4	32
MJEHNMBL_00942	E745_Chromosome_SuperHybrid_pilon	947846	948772	+	927	241	254	264	96	98	118
MJEHNMBL_00943	E745_Chromosome_SuperHybrid_pilon	949008	949454	+	447	14	17	14	36	35	46
MJEHNMBL_00944	E745_Chromosome_SuperHybrid_pilon	949727	951079	+	1353	173	187	156	116	101	192
MJEHNMBL_00945	E745_Chromosome_SuperHybrid_pilon	951250	951537	+	288	78	100	83	20	12	22
MJEHNMBL_00946	E745_Chromosome_SuperHybrid_pilon	951763	952206	+	444	0	2	0	2	2	4
MJEHNMBL_00947	E745_Chromosome_SuperHybrid_pilon	952212	953396	-	1185	8	8	8	0	4	14
MJEHNMBL_00948	E745_Chromosome_SuperHybrid_pilon	953664	954362	+	699	28	19	21	25	41	61
MJEHNMBL_00949	E745_Chromosome_SuperHybrid_pilon	954369	955046	+	678	36	52	60	42	38	90
MJEHNMBL_00950	E745_Chromosome_SuperHybrid_pilon	955172	955669	-	498	0	0	0	4	0	2
MJEHNMBL_00951	E745_Chromosome_SuperHybrid_pilon	956137	957432	+	1296	4	1	2	12	2	11
MJEHNMBL_00952	E745_Chromosome_SuperHybrid_pilon	957524	959905	-	2382	72	122	106	248	247	353
MJEHNMBL_00953	E745_Chromosome_SuperHybrid_pilon	959895	960542	-	648	5	7	10	20	22	41
MJEHNMBL_00954	E745_Chromosome_SuperHybrid_pilon	960606	961145	+	540	11	8	5	18	22	26
MJEHNMBL_00955	E745_Chromosome_SuperHybrid_pilon	961235	961654	+	420	79	81	105	98	153	247
MJEHNMBL_00956	E745_Chromosome_SuperHybrid_pilon	962252	963418	+	1167	84	122	93	170	165	297
MJEHNMBL_00957	E745_Chromosome_SuperHybrid_pilon	963464	964960	+	1497	172	162	169	162	141	281
MJEHNMBL_00958	E745_Chromosome_SuperHybrid_pilon	965041	965724	+	684	11	18	12	30	11	48
MJEHNMBL_00959	E745_Chromosome_SuperHybrid_pilon	965724	965945	+	222	0	0	2	0	0	8
MJEHNMBL_00960	E745_Chromosome_SuperHybrid_pilon	966369	967559	+	1191	2	0	0	0	6	0
MJEHNMBL_00961	E745_Chromosome_SuperHybrid_pilon	967661	968614	+	954	0	0	0	2	0	4
MJEHNMBL_00962	E745_Chromosome_SuperHybrid_pilon	968683	970032	+	1350	0	0	0	6	0	0
MJEHNMBL_00963	E745_Chromosome_SuperHybrid_pilon	970215	970538	-	324	0	0	0	4	0	0
MJEHNMBL_00964	E745_Chromosome_SuperHybrid_pilon	970667	971830	+	1164	26	49	39	34	47	95
MJEHNMBL_00965	E745_Chromosome_SuperHybrid_pilon	971900	973249	+	1350	127	132	115	254	255	396
MJEHNMBL_00966	E745_Chromosome_SuperHybrid_pilon	973294	973725	-	432	7	6	2	8	4	8
MJEHNMBL_00967	E745_Chromosome_SuperHybrid_pilon	974113	976755	+	2643	97	140	74	528	548	673
MJEHNMBL_00968	E745_Chromosome_SuperHybrid_pilon	976955	977551	+	597	40	42	41	22	26	44
MJEHNMBL_00969	E745_Chromosome_SuperHybrid_pilon	977673	978821	+	1149	31	32	38	26	32	60
MJEHNMBL_00970	E745_Chromosome_SuperHybrid_pilon	978859	979272	-	414	8	8	2	25	8	14
MJEHNMBL_00971	E745_Chromosome_SuperHybrid_pilon	979351	979782	+	432	23	45	16	38	34	46
MJEHNMBL_00972	E745_Chromosome_SuperHybrid_pilon	979881	980114	-	234	60	88	90	46	37	58
MJEHNMBL_00973	E745_Chromosome_SuperHybrid_pilon	980297	981967	+	1671	443	486	442	58	42	74
MJEHNMBL_00974	E745_Chromosome_SuperHybrid_pilon	982114	982500	+	387	47	46	53	38	31	49
MJEHNMBL_00975	E745_Chromosome_SuperHybrid_pilon	982487	983185	+	699	17	13	20	9	4	33
MJEHNMBL_00976	E745_Chromosome_SuperHybrid_pilon	983190	983654	+	465	22	53	28	31	30	45
MJEHNMBL_00977	E745_Chromosome_SuperHybrid_pilon	983651	984562	+	912	75	88	98	82	109	140
MJEHNMBL_00978	E745_Chromosome_SuperHybrid_pilon	984797	985336	+	540	23	37	25	20	6	13
MJEHNMBL_00979	E745_Chromosome_SuperHybrid_pilon	985350	986633	+	1284	10	34	60	20	16	19
MJEHNMBL_00980	E745_Chromosome_SuperHybrid_pilon	986646	987572	+	927	30	36	37	20	11	25
MJEHNMBL_00981	E745_Chromosome_SuperHybrid_pilon	987591	988871	+	1281	33	37	68	8	12	21
MJEHNMBL_00982	E745_Chromosome_SuperHybrid_pilon	988876	989952	+	1077	63	63	65	22	28	28
MJEHNMBL_00983	E745_Chromosome_SuperHybrid_pilon	989957	993142	+	3186	169	193	174	68	76	93
MJEHNMBL_00984	E745_Chromosome_SuperHybrid_pilon	993196	993642	+	447	33	17	36	11	8	23
MJEHNMBL_00985	E745_Chromosome_SuperHybrid_pilon	993617	993970	+	354	8	28	18	6	3	10
MJEHNMBL_00986	E745_Chromosome_SuperHybrid_pilon	993967	994899	+	933	19	35	30	11	1	18
MJEHNMBL_00987	E745_Chromosome_SuperHybrid_pilon	994896	995612	+	717	25	30	32	24	12	18
MJEHNMBL_00988	E745_Chromosome_SuperHybrid_pilon	995619	996248	+	630	43	63	27	35	20	34
MJEHNMBL_00989	E745_Chromosome_SuperHybrid_pilon	996588	997229	+	642	22	43	21	25	40	58
MJEHNMBL_00990	E745_Chromosome_SuperHybrid_pilon	997260	997964	+	705	38	30	48	46	49	70
MJEHNMBL_00991	E745_Chromosome_SuperHybrid_pilon	997961	998863	+	903	78	85	77	75	82	132
MJEHNMBL_00992	E745_Chromosome_SuperHybrid_pilon	999021	1000727	-	1707	210	178	160	147	150	204
MJEHNMBL_00993	E745_Chromosome_SuperHybrid_pilon	1000981	1001934	+	954	3	6	14	4	6	11
MJEHNMBL_00994	E745_Chromosome_SuperHybrid_pilon	1001984	1002607	+	624	7	11	13	12	16	16
MJEHNMBL_00995	E745_Chromosome_SuperHybrid_pilon	1003057	1004106	+	1050	141	219	159	18	32	61
MJEHNMBL_00996	E745_Chromosome_SuperHybrid_pilon	1004103	1004984	+	882	21	71	57	10	20	15
MJEHNMBL_00997	E745_Chromosome_SuperHybrid_pilon	1004987	1005757	+	771	66	103	92	14	18	20
MJEHNMBL_00998	E745_Chromosome_SuperHybrid_pilon	1006036	1006890	+	855	8	8	6	19	12	30
MJEHNMBL_00999	E745_Chromosome_SuperHybrid_pilon	1007068	1008231	+	1164	62	87	74	91	120	128
MJEHNMBL_01000	E745_Chromosome_SuperHybrid_pilon	1008348	1008758	+	411	54	60	58	42	41	67
MJEHNMBL_01001	E745_Chromosome_SuperHybrid_pilon	1008932	1011160	+	2229	26	23	37	155	104	184
MJEHNMBL_01002	E745_Chromosome_SuperHybrid_pilon	1011298	1011615	+	318	0	4	6	27	16	18
MJEHNMBL_01003	E745_Chromosome_SuperHybrid_pilon	1011775	1012011	+	237	10	9	21	8	5	16
MJEHNMBL_01004	E745_Chromosome_SuperHybrid_pilon	1012008	1012406	+	399	4	0	7	2	3	2
MJEHNMBL_01005	E745_Chromosome_SuperHybrid_pilon	1013073	1014017	-	945	128	110	134	108	89	126
MJEHNMBL_01006	E745_Chromosome_SuperHybrid_pilon	1014095	1014268	-	174	0	0	0	0	0	0
MJEHNMBL_01007	E745_Chromosome_SuperHybrid_pilon	1014313	1015257	-	945	0	0	0	0	0	0
MJEHNMBL_01008	E745_Chromosome_SuperHybrid_pilon	1015484	1016692	+	1209	0	0	0	0	0	0
MJEHNMBL_01009	E745_Chromosome_SuperHybrid_pilon	1016714	1018729	+	2016	2	2	6	2	4	2
MJEHNMBL_01010	E745_Chromosome_SuperHybrid_pilon	1018812	1020185	-	1374	2	0	0	0	2	2
MJEHNMBL_01011	E745_Chromosome_SuperHybrid_pilon	1020211	1020495	-	285	0	7	4	2	0	0
MJEHNMBL_01012	E745_Chromosome_SuperHybrid_pilon	1020497	1022512	-	2016	79	86	116	2	2	4
MJEHNMBL_01013	E745_Chromosome_SuperHybrid_pilon	1022691	1022996	-	306	38	34	26	67	84	146
MJEHNMBL_01014	E745_Chromosome_SuperHybrid_pilon	1023085	1024116	-	1032	24	16	12	79	71	110
MJEHNMBL_01015	E745_Chromosome_SuperHybrid_pilon	1024323	1025198	+	876	0	6	2	14	10	14
MJEHNMBL_01016	E745_Chromosome_SuperHybrid_pilon	1025350	1026192	-	843	4	4	2	6	2	12
MJEHNMBL_01017	E745_Chromosome_SuperHybrid_pilon	1026284	1028161	-	1878	0	2	4	2	0	0
MJEHNMBL_01018	E745_Chromosome_SuperHybrid_pilon	1028158	1029579	-	1422	0	2	0	2	2	6
MJEHNMBL_01019	E745_Chromosome_SuperHybrid_pilon	1029582	1032140	-	2559	2	0	2	2	2	4
MJEHNMBL_01020	E745_Chromosome_SuperHybrid_pilon	1032180	1032971	-	792	0	0	0	4	0	0
MJEHNMBL_01021	E745_Chromosome_SuperHybrid_pilon	1033228	1034619	+	1392	0	0	0	4	0	4
MJEHNMBL_01022	E745_Chromosome_SuperHybrid_pilon	1034692	1035339	-	648	4	4	8	4	6	12
MJEHNMBL_01023	E745_Chromosome_SuperHybrid_pilon	1035347	1036033	-	687	0	0	0	0	0	0
MJEHNMBL_01024	E745_Chromosome_SuperHybrid_pilon	1036039	1037112	-	1074	0	0	0	8	10	4
MJEHNMBL_01025	E745_Chromosome_SuperHybrid_pilon	1037334	1038008	+	675	4	5	10	7	2	13
MJEHNMBL_01026	E745_Chromosome_SuperHybrid_pilon	1038013	1039353	+	1341	13	7	20	8	7	17
MJEHNMBL_01027	E745_Chromosome_SuperHybrid_pilon	1039502	1040488	-	987	425	444	387	12	7	18
MJEHNMBL_01028	E745_Chromosome_SuperHybrid_pilon	1041212	1042243	+	1032	18	34	22	4	4	4
MJEHNMBL_01029	E745_Chromosome_SuperHybrid_pilon	1042352	1043893	+	1542	66	90	80	30	20	34
MJEHNMBL_01030	E745_Chromosome_SuperHybrid_pilon	1044024	1044836	+	813	68	104	77	46	36	68
MJEHNMBL_01031	E745_Chromosome_SuperHybrid_pilon	1044826	1045311	+	486	82	99	116	42	27	24
MJEHNMBL_01032	E745_Chromosome_SuperHybrid_pilon	1045334	1045879	+	546	86	96	72	18	14	35
MJEHNMBL_01033	E745_Chromosome_SuperHybrid_pilon	1045952	1047595	-	1644	109	88	98	32	43	75
MJEHNMBL_01034	E745_Chromosome_SuperHybrid_pilon	1047724	1049952	-	2229	94	92	82	97	110	181
MJEHNMBL_01035	E745_Chromosome_SuperHybrid_pilon	1049985	1050464	-	480	20	20	20	36	47	68
MJEHNMBL_01036	E745_Chromosome_SuperHybrid_pilon	1050695	1051543	-	849	11	8	12	75	87	140
MJEHNMBL_01037	E745_Chromosome_SuperHybrid_pilon	1051700	1053310	-	1611	27	22	24	131	130	233
MJEHNMBL_01038	E745_Chromosome_SuperHybrid_pilon	1053554	1053871	-	318	0	2	0	3	8	4
MJEHNMBL_01039	E745_Chromosome_SuperHybrid_pilon	1053864	1054643	-	780	12	11	16	57	94	103
MJEHNMBL_01040	E745_Chromosome_SuperHybrid_pilon	1054776	1055711	-	936	6	10	8	32	27	40
MJEHNMBL_01041	E745_Chromosome_SuperHybrid_pilon	1055787	1056179	-	393	3	4	7	30	25	17
MJEHNMBL_01042	E745_Chromosome_SuperHybrid_pilon	1056160	1056678	-	519	2	3	0	20	11	16
MJEHNMBL_01043	E745_Chromosome_SuperHybrid_pilon	1056826	1057899	-	1074	68	107	67	66	68	131
MJEHNMBL_01044	E745_Chromosome_SuperHybrid_pilon	1057892	1058809	-	918	34	52	33	46	42	86
MJEHNMBL_01045	E745_Chromosome_SuperHybrid_pilon	1059012	1059203	-	192	6	10	6	24	27	83
MJEHNMBL_01046	E745_Chromosome_SuperHybrid_pilon	1059362	1060870	+	1509	14	8	14	114	88	228
MJEHNMBL_01047	E745_Chromosome_SuperHybrid_pilon	1061106	1062287	+	1182	10	19	0	58	61	155
MJEHNMBL_01048	E745_Chromosome_SuperHybrid_pilon	1062376	1062924	+	549	0	5	4	16	17	25
MJEHNMBL_01049	E745_Chromosome_SuperHybrid_pilon	1063180	1063692	-	513	11	17	6	15	16	38
MJEHNMBL_01050	E745_Chromosome_SuperHybrid_pilon	1063736	1064692	-	957	9	22	24	23	16	30
MJEHNMBL_01051	E745_Chromosome_SuperHybrid_pilon	1064698	1065387	-	690	0	2	4	3	6	4
MJEHNMBL_01052	E745_Chromosome_SuperHybrid_pilon	1065513	1066172	-	660	15	15	34	11	21	6
MJEHNMBL_01053	E745_Chromosome_SuperHybrid_pilon	1066172	1067008	-	837	41	36	24	30	16	32
MJEHNMBL_01054	E745_Chromosome_SuperHybrid_pilon	1067029	1068480	-	1452	59	88	76	34	33	70
MJEHNMBL_01055	E745_Chromosome_SuperHybrid_pilon	1068615	1069559	-	945	96	148	115	156	172	232
MJEHNMBL_01056	E745_Chromosome_SuperHybrid_pilon	1069643	1070290	-	648	48	38	51	50	58	101
MJEHNMBL_01057	E745_Chromosome_SuperHybrid_pilon	1070520	1071686	-	1167	28	28	36	138	146	250
MJEHNMBL_01058	E745_Chromosome_SuperHybrid_pilon	1071837	1072652	-	816	0	0	1	2	0	6
MJEHNMBL_01059	E745_Chromosome_SuperHybrid_pilon	1072665	1073516	-	852	2	0	0	0	2	2
MJEHNMBL_01060	E745_Chromosome_SuperHybrid_pilon	1073519	1074820	-	1302	2	2	3	0	2	4
MJEHNMBL_01061	E745_Chromosome_SuperHybrid_pilon	1074967	1076226	-	1260	18	12	14	2	2	0
MJEHNMBL_01062	E745_Chromosome_SuperHybrid_pilon	1076328	1078094	-	1767	2	4	8	0	0	0
MJEHNMBL_01063	E745_Chromosome_SuperHybrid_pilon	1078561	1079331	+	771	10	22	8	6	6	6
MJEHNMBL_01064	E745_Chromosome_SuperHybrid_pilon	1079431	1079865	+	435	4	0	2	4	2	0
MJEHNMBL_01065	E745_Chromosome_SuperHybrid_pilon	1080046	1080456	+	411	5	9	10	0	4	2
MJEHNMBL_01066	E745_Chromosome_SuperHybrid_pilon	1080513	1080953	+	441	12	14	16	18	30	41
MJEHNMBL_01067	E745_Chromosome_SuperHybrid_pilon	1081104	1082141	+	1038	0	0	4	20	20	26
MJEHNMBL_01068	E745_Chromosome_SuperHybrid_pilon	1082267	1083436	-	1170	4	6	6	4	2	14
MJEHNMBL_01069	E745_Chromosome_SuperHybrid_pilon	1083584	1085137	+	1554	4	6	2	6	4	6
MJEHNMBL_01070	E745_Chromosome_SuperHybrid_pilon	1085245	1086327	-	1083	0	0	0	4	3	6
MJEHNMBL_01071	E745_Chromosome_SuperHybrid_pilon	1086318	1087964	-	1647	2	2	0	0	8	6
MJEHNMBL_01072	E745_Chromosome_SuperHybrid_pilon	1088148	1088810	+	663	2	0	4	4	4	4
MJEHNMBL_01073	E745_Chromosome_SuperHybrid_pilon	1088954	1089517	+	564	2	4	2	131	146	183
MJEHNMBL_01074	E745_Chromosome_SuperHybrid_pilon	1089527	1091056	+	1530	6	26	22	384	504	638
MJEHNMBL_01075	E745_Chromosome_SuperHybrid_pilon	1091213	1091563	+	351	1	0	1	4	4	10
MJEHNMBL_01076	E745_Chromosome_SuperHybrid_pilon	1091662	1092192	+	531	9	8	21	10	10	12
MJEHNMBL_01077	E745_Chromosome_SuperHybrid_pilon	1092346	1093497	+	1152	22	20	12	12	22	26
MJEHNMBL_01078	E745_Chromosome_SuperHybrid_pilon	1093606	1095645	-	2040	1802	1945	1775	1456	1366	2046
MJEHNMBL_01079	E745_Chromosome_SuperHybrid_pilon	1095703	1096458	-	756	2	8	4	2	4	2
MJEHNMBL_01080	E745_Chromosome_SuperHybrid_pilon	1096550	1097713	-	1164	15	23	5	22	18	40
MJEHNMBL_01081	E745_Chromosome_SuperHybrid_pilon	1098229	1098435	-	207	0	0	2	7	12	15
MJEHNMBL_01082	E745_Chromosome_SuperHybrid_pilon	1098451	1099065	-	615	35	26	23	117	98	100
MJEHNMBL_01083	E745_Chromosome_SuperHybrid_pilon	1099212	1099895	-	684	0	2	0	22	16	28
MJEHNMBL_01084	E745_Chromosome_SuperHybrid_pilon	1100004	1100360	-	357	1	2	2	7	8	13
